DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,AGRUPA EDAD PERSONA,CANTIDAD
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,25/2/2014,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,3/3/2014,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,20/4/2014,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,16/7/2014,MASCULINO,ADOLESCENTES,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,5/9/2014,FEMENINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,12/9/2014,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,10/11/2014,MASCULINO,ADULTOS,1
AMAZONAS,LETICIA,91001000,ARMA BLANCA / CORTOPUNZANTE,26/12/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,28/9/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ABEJORRAL,05002000,ARMA BLANCA / CORTOPUNZANTE,8/12/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,AMAGÁ,05030000,ARMA BLANCA / CORTOPUNZANTE,11/1/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,AMALFI,05031000,ARMA BLANCA / CORTOPUNZANTE,2/9/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,12/1/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,13/1/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,20/1/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,4/4/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,ANDES,05034000,ARMA BLANCA / CORTOPUNZANTE,25/4/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ANGOSTURA,05038000,ARMA BLANCA / CORTOPUNZANTE,16/9/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,ANORÍ,05040000,ARMA BLANCA / CORTOPUNZANTE,5/6/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,24/1/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,4/3/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/3/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,23/3/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,26/3/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,29/3/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,9/4/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,19/4/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/5/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/5/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/5/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,11/5/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,13/5/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,25/5/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,28/5/2014,MASCULINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/6/2014,FEMENINO,ADULTOS,1
ANTIOQUIA,APARTADÓ,05045000,ARMA BLANCA / CORTOPUNZANTE,8/6/2014,MASCULINO,ADULTOS,1
