MUNICIPIO,Latitud,Longitud
GACHANTIVA,5.7422941000000005,-73.53603985241656
ENVIGADO,6.1701348,-75.587415
MORALES,8.2763913,-73.8680272
MANAURE,11.625262,-72.60433371486387
DOSQUEBRADAS,4.8339551,-75.6713013
LA FLORIDA,1.2986074,-77.4044845
EL ROSAL,4.883793799999999,-74.23449618473829
TAMESIS,5.67615565,-75.73232886815234
BUENAVISTA,9.32206885,-74.96898027885466
LA PLAYA,3.3752607,-76.5413816
FONSECA,10.7773005,-72.7985609
ARCABUCO,5.75520695,-73.45137111659105
GIRARDOT,4.306643,-74.8015665
SEGOVIA,7.27759545,-74.62121481377255
SAN ONOFRE,9.7386264,-75.5234228
GUADALUPE,6.87251,-75.21952230334287
CICUCO,9.2778539,-74.643809
TESALIA,2.4855806,-75.7273303
CAJICA,4.9360114,-74.03211632810394
CARACOLI,6.4092756,-74.7566979
PUERTO CARRENO,6.1909225,-67.4841891
SAN ANTONIO,3.971341,-75.51451613072902
SAN ROQUE,6.4307057499999996,-74.94080256175135
PUERTO SANTANDER,8.3546568,-72.4145867
EL BAGRE,7.6977101,-74.6222028245339
BOGOTA D.C.,4.6529539,-74.0835643
TIERRALTA,8.171791,-76.0601328
SUAREZ,4.0484889,-74.833034
ITAGUI,9.2295932,-75.0600466
EL DOVIO,4.511899,-76.238102
POPAYAN,2.4422295,-76.6072368
SOTAQUIRA,5.78568085,-73.25921165504153
PACHO,5.1663706000000005,-74.16048508299113
CUMARAL,4.2711674,-73.4877694
GRAMALOTE,6.51488405,-74.9083837222449
MALLAMA,1.1889965500000002,-77.87056516353007
NECOCLI,8.4242821,-76.784019
SILOS,7.2054262,-72.7562972
SAN PEDRO,4.400606366575883,-74.18115096941011
SABANETA,6.1387502000000005,-75.6127753047643
AQUITANIA,5.5175808,-72.88315
MESETAS,3.10260845,-74.1309723909628
BARRANCA DE UPIA,4.5707393,-72.963415
EL ROSARIO,1.7432036,-77.3350718
PIEDRAS,4.5429776,-74.8788788
RIO VIEJO,8.431423599999999,-73.78624036486244
SAN FRANCISCO,5.875340100000001,-74.94699113475073
